code_dept,annee,trimestre,taux_chomage
01,2007,1,5.2
02,2007,1,10.7
03,2007,1,8.2
04,2007,1,9.0
05,2007,1,7.4
06,2007,1,7.9
07,2007,1,8.8
08,2007,1,10.9
09,2007,1,9.4
10,2007,1,8.7
11,2007,1,10.5
12,2007,1,5.2
13,2007,1,11.2
14,2007,1,8.4
15,2007,1,5.9
16,2007,1,8.2
17,2007,1,8.8
18,2007,1,7.7
19,2007,1,5.6
2A,2007,1,7.9
2B,2007,1,9.1
21,2007,1,6.8
22,2007,1,6.7
23,2007,1,7.2
24,2007,1,7.9
25,2007,1,7.9
26,2007,1,8.9
27,2007,1,8.1
28,2007,1,7.1
29,2007,1,7.4
30,2007,1,11.6
31,2007,1,8.8
32,2007,1,5.9
33,2007,1,8.4
34,2007,1,11.4
35,2007,1,6.3
36,2007,1,7.2
37,2007,1,7.0
38,2007,1,6.9
39,2007,1,6.1
40,2007,1,7.3
41,2007,1,7.0
42,2007,1,8.0
43,2007,1,6.8
44,2007,1,7.4
45,2007,1,6.8
46,2007,1,7.3
47,2007,1,8.4
48,2007,1,4.9
49,2007,1,7.3
50,2007,1,7.4
51,2007,1,7.7
52,2007,1,8.1
53,2007,1,5.2
54,2007,1,7.7
55,2007,1,8.7
56,2007,1,7.2
57,2007,1,8.3
58,2007,1,8.0
59,2007,1,11.2
60,2007,1,7.7
61,2007,1,7.6
62,2007,1,11.1
63,2007,1,7.4
64,2007,1,7.1
65,2007,1,8.9
66,2007,1,11.1
67,2007,1,6.9
68,2007,1,8.2
69,2007,1,7.6
70,2007,1,7.5
71,2007,1,7.3
72,2007,1,7.5
73,2007,1,6.1
74,2007,1,5.4
75,2007,1,8.2
76,2007,1,9.2
77,2007,1,6.4
78,2007,1,6.1
79,2007,1,5.9
80,2007,1,9.9
81,2007,1,9.2
82,2007,1,8.9
84,2007,1,10.1
85,2007,1,6.1
86,2007,1,7.2
87,2007,1,7.1
88,2007,1,9.1
89,2007,1,7.6
90,2007,1,9.9
91,2007,1,5.9
92,2007,1,7.1
93,2007,1,11.1
94,2007,1,7.7
95,2007,1,8.5
83,2007,1,9.5
ZA,2007,1,
ZB,2007,1,
ZC,2007,1,
ZD,2007,1,
01,2007,2,4.9
02,2007,2,10.2
03,2007,2,7.8
04,2007,2,8.8
05,2007,2,7.3
06,2007,2,7.5
07,2007,2,8.4
08,2007,2,10.4
09,2007,2,9.0
10,2007,2,8.2
11,2007,2,10.2
12,2007,2,5.0
13,2007,2,10.8
14,2007,2,7.9
15,2007,2,5.5
16,2007,2,7.9
17,2007,2,8.4
18,2007,2,7.4
19,2007,2,5.3
2A,2007,2,7.5
2B,2007,2,8.8
21,2007,2,6.5
22,2007,2,6.5
23,2007,2,7.0
24,2007,2,7.6
25,2007,2,7.4
26,2007,2,8.6
27,2007,2,7.6
28,2007,2,6.8
29,2007,2,7.1
30,2007,2,11.2
31,2007,2,8.4
32,2007,2,5.6
33,2007,2,8.0
34,2007,2,11.1
35,2007,2,6.1
36,2007,2,6.7
37,2007,2,6.7
38,2007,2,6.7
39,2007,2,5.8
40,2007,2,7.0
41,2007,2,6.6
42,2007,2,7.7
43,2007,2,6.6
44,2007,2,7.1
45,2007,2,6.5
46,2007,2,6.9
47,2007,2,7.9
48,2007,2,4.6
49,2007,2,7.0
50,2007,2,7.1
51,2007,2,7.2
52,2007,2,7.6
53,2007,2,4.8
54,2007,2,7.4
55,2007,2,8.3
56,2007,2,7.0
57,2007,2,7.9
58,2007,2,7.6
59,2007,2,10.7
60,2007,2,7.4
61,2007,2,7.2
62,2007,2,10.6
63,2007,2,7.1
64,2007,2,6.8
65,2007,2,8.3
66,2007,2,10.6
67,2007,2,6.6
68,2007,2,7.8
69,2007,2,7.3
70,2007,2,7.0
71,2007,2,7.0
72,2007,2,6.9
73,2007,2,6.0
74,2007,2,5.3
75,2007,2,7.9
76,2007,2,8.7
77,2007,2,6.0
78,2007,2,5.9
79,2007,2,5.6
80,2007,2,9.5
81,2007,2,8.8
82,2007,2,8.6
84,2007,2,9.8
85,2007,2,5.6
86,2007,2,6.8
87,2007,2,6.8
88,2007,2,8.6
89,2007,2,7.2
90,2007,2,9.3
91,2007,2,5.6
92,2007,2,6.8
93,2007,2,10.7
94,2007,2,7.5
95,2007,2,8.2
83,2007,2,9.1
ZA,2007,2,
ZB,2007,2,
ZC,2007,2,
ZD,2007,2,
01,2007,3,4.9
02,2007,3,10.1
03,2007,3,7.7
04,2007,3,8.6
05,2007,3,7.2
06,2007,3,7.3
07,2007,3,8.3
08,2007,3,10.3
09,2007,3,8.7
10,2007,3,8.1
11,2007,3,10.0
12,2007,3,5.0
13,2007,3,10.6
14,2007,3,7.6
15,2007,3,5.5
16,2007,3,7.9
17,2007,3,8.2
18,2007,3,7.3
19,2007,3,5.3
2A,2007,3,7.2
2B,2007,3,8.6
21,2007,3,6.4
22,2007,3,6.4
23,2007,3,7.0
24,2007,3,7.4
25,2007,3,7.2
26,2007,3,8.4
27,2007,3,7.5
28,2007,3,6.6
29,2007,3,7.0
30,2007,3,10.8
31,2007,3,8.1
32,2007,3,5.7
33,2007,3,7.8
34,2007,3,10.9
35,2007,3,5.8
36,2007,3,6.6
37,2007,3,6.5
38,2007,3,6.5
39,2007,3,5.8
40,2007,3,6.7
41,2007,3,6.7
42,2007,3,7.6
43,2007,3,6.5
44,2007,3,6.8
