id,code_dept,election_id,nb_inscrits,nb_abstentions,nb_votants,nb_blancs_nuls
1,01,1,393808,65996,327812,6453
2,02,1,376068,72928,303140,5196
3,03,1,256275,45266,211009,5059
4,04,1,123933,21034,102899,2111
5,05,1,106865,18246,88619,1842
6,06,1,745288,153383,591905,9063
7,07,1,243351,38560,204791,4073
8,08,1,196579,40508,156071,2480
9,09,1,116370,18502,97868,1820
10,10,1,203590,37939,165651,3466
11,11,1,264288,43641,220647,4299
12,12,1,218347,32095,186252,4539
13,13,1,1314766,257432,1057334,16711
14,14,1,490547,82498,408049,6617
15,15,1,120962,20366,100596,2190
16,16,1,260765,46641,214124,4665
17,17,1,471947,85478,386469,7728
18,18,1,230917,45295,185622,4007
19,19,1,186701,27332,159369,3274
20,2A,1,101682,26173,75509,1294
21,2B,1,118667,30523,88144,1627
22,21,1,354789,60284,294505,5434
23,22,1,450961,64453,386508,6971
24,23,1,96875,17218,79657,1907
25,24,1,311933,47286,264647,5833
26,25,1,359193,61777,297416,6004
27,26,1,353056,59555,293501,5248
28,27,1,417830,77270,340560,6085
29,28,1,297784,56589,241195,4380
30,29,1,676771,107176,569595,9523
31,30,1,513138,87990,425148,7122
32,31,1,845035,139682,705353,11760
33,32,1,143798,20408,123390,2724
34,33,1,1007663,174717,832946,14040
35,34,1,746616,133194,613422,10478
36,35,1,697043,106972,590071,11045
37,36,1,173772,31336,142436,3488
38,37,1,412904,71358,341546,6291
39,38,1,821279,142907,678372,12033
40,39,1,188252,30917,157335,3242
41,40,1,296740,48073,248667,4837
42,41,1,243061,41785,201276,3975
43,42,1,509701,89226,420475,8052
44,43,1,176103,27225,148878,3779
45,44,1,935254,147361,787893,14171
46,45,1,442928,80197,362731,6686
47,46,1,135178,18738,116440,2370
48,47,1,240926,40306,200620,4088
49,48,1,59890,8857,51033,1027
50,49,1,553014,86386,466628,10855
51,50,1,375716,63635,312081,5952
52,51,1,382003,80039,301964,4977
53,52,1,138929,27345,111584,2231
54,53,1,221493,34521,186972,4701
55,54,1,495506,99361,396145,6242
56,55,1,140133,25604,114529,2075
57,56,1,555819,86123,469696,8538
58,57,1,745678,162948,582730,10658
59,58,1,164911,31721,133190,2594
60,59,1,1792359,396523,1395836,24737
61,60,1,548845,104642,444203,8234
62,61,1,212521,35378,177143,3389
63,62,1,1083728,218167,865561,16422
64,63,1,449247,71581,377666,8222
65,64,1,488946,86788,402158,8501
66,65,1,177417,29744,147673,2969
67,66,1,329243,59937,269306,5112
68,67,1,748087,150904,597183,11251
69,68,1,521174,107366,413808,8397
70,69,1,1100632,202748,897884,14233
71,70,1,180646,30428,150218,3682
72,71,1,409987,77577,332410,7584
73,72,1,406858,72523,334335,8233
74,73,1,298785,50538,248247,5132
75,74,1,504674,95316,409358,7343
76,75,1,1253322,248755,1004567,12093
77,76,1,876165,167294,708871,13470
78,77,1,843673,186397,657276,11478
79,78,1,926619,196240,730379,11066
80,79,1,270711,43596,227115,5400
81,80,1,409444,74295,335149,6012
82,81,1,283884,41824,242060,5346
83,82,1,175312,26302,149010,3166
84,83,1,757180,147017,610163,9433
85,84,1,388052,69617,318435,5546
86,85,1,488819,71718,417101,9717
87,86,1,303653,52557,251096,5406
88,87,1,264914,41025,223889,5950
89,88,1,285410,51334,234076,5174
90,89,1,245258,47235,198023,3547
91,90,1,94889,18382,76507,1584
92,91,1,767292,159764,607528,10277
93,92,1,938538,193160,745378,11726
94,93,1,740536,196517,544019,10104
95,94,1,767571,172708,594863,9501
96,95,1,704810,162343,542467,9752
97,ZA,1,298108,141585,156523,11364
98,ZB,1,302903,144126,158777,12507
99,ZC,1,76874,37706,39168,1756
100,ZD,1,578409,199021,379388,15303
101,ZM,1,77413,39731,37682,1699
102,ZN,1,165467,73839,91628,2369
103,ZP,1,186642,94542,92100,2281
104,ZS,1,4923,2193,2730,99
105,ZW,1,8940,2494,6446,39
106,ZX,1,22685,14408,8277,244
107,ZZ,1,1043586,635882,407704,4410
108,01,2,393866,67279,326587,19513
109,02,2,376073,73997,302076,21056
110,03,2,256211,45079,211132,14924
111,04,2,123895,20314,103581,6639
112,05,2,106875,17470,89405,6025
113,06,2,745493,146254,599239,30067
114,07,2,243351,39421,203930,13975
115,08,2,196603,40542,156061,10308
116,09,2,116357,18024,98333,6415
117,10,2,203585,38410,165175,11413
118,11,2,263998,43300,220698,15547
119,12,2,218289,31109,187180,12072
120,13,2,1314755,250778,1063977,57621
121,14,2,490680,81197,409483,22535
122,15,2,120931,19078,101853,6213
123,16,2,260728,46131,214597,13849
124,17,2,472024,83316,388708,23377
125,18,2,231015,45785,185230,13414
126,19,2,186621,25469,161152,8886
