id,departement_code,sexe_id,tranche_age_id,annee,population
1,ZA,2,1,2007,63118
2,ZA,2,2,2007,44730
3,ZA,2,3,2007,51025
4,ZA,2,4,2007,20686
5,ZA,2,5,2007,8766
6,ZB,2,1,2007,57391
7,ZB,2,2,2007,44191
8,ZB,2,3,2007,51680
9,ZB,2,4,2007,22116
10,ZB,2,5,2007,9592
11,ZC,2,1,2007,47623
12,ZC,2,2,2007,30538
13,ZC,2,3,2007,21381
14,ZC,2,4,2007,4720
15,ZC,2,5,2007,1284
16,ZD,2,1,2007,141874
17,ZD,2,2,2007,107793
18,ZD,2,3,2007,97687
19,ZD,2,4,2007,29243
20,ZD,2,5,2007,8738
21,ZA,3,1,2007,59859
22,ZA,3,2,2007,53921
23,ZA,3,3,2007,59947
24,ZA,3,4,2007,24720
25,ZA,3,5,2007,13812
26,ZB,3,1,2007,56422
27,ZB,3,2,2007,52938
28,ZB,3,3,2007,61543
29,ZB,3,4,2007,26379
30,ZB,3,5,2007,15478
31,ZC,3,1,2007,47099
32,ZC,3,2,2007,33399
33,ZC,3,3,2007,20586
34,ZC,3,4,2007,4500
35,ZC,3,5,2007,1901
36,ZD,3,1,2007,136316
37,ZD,3,2,2007,119899
38,ZD,3,3,2007,102585
39,ZD,3,4,2007,34505
40,ZD,3,5,2007,15467
41,ZA,2,1,2008,62866
42,ZA,2,2,2008,43428
43,ZA,2,3,2008,51583
44,ZA,2,4,2008,21311
45,ZA,2,5,2008,9201
46,ZB,2,1,2008,56042
47,ZB,2,2,2008,42924
48,ZB,2,3,2008,52617
49,ZB,2,4,2008,22942
50,ZB,2,5,2008,9912
51,ZC,2,1,2008,49041
52,ZC,2,2,2008,31065
53,ZC,2,3,2008,22178
54,ZC,2,4,2008,5039
55,ZC,2,5,2008,1350
56,ZD,2,1,2008,143232
57,ZD,2,2,2008,107767
58,ZD,2,3,2008,100891
59,ZD,2,4,2008,31137
60,ZD,2,5,2008,9014
61,ZA,3,1,2008,59449
62,ZA,3,2,2008,53407
63,ZA,3,3,2008,60781
64,ZA,3,4,2008,25483
65,ZA,3,5,2008,14275
66,ZB,3,1,2008,55659
67,ZB,3,2,2008,51994
68,ZB,3,3,2008,62619
69,ZB,3,4,2008,27130
70,ZB,3,5,2008,15854
71,ZC,3,1,2008,48189
72,ZC,3,2,2008,34272
73,ZC,3,3,2008,21420
74,ZC,3,4,2008,4747
75,ZC,3,5,2008,1965
76,ZD,3,1,2008,136832
77,ZD,3,2,2008,120660
78,ZD,3,3,2008,106408
79,ZD,3,4,2008,36419
80,ZD,3,5,2008,15890
81,ZA,2,1,2009,61891
82,ZA,2,2,2009,41915
83,ZA,2,3,2009,52453
84,ZA,2,4,2009,22140
85,ZA,2,5,2009,9468
86,ZB,2,1,2009,54973
87,ZB,2,2,2009,41471
88,ZB,2,3,2009,53091
89,ZB,2,4,2009,23748
90,ZB,2,5,2009,10372
91,ZC,2,1,2009,50651
92,ZC,2,2,2009,31046
93,ZC,2,3,2009,22754
94,ZC,2,4,2009,5333
95,ZC,2,5,2009,1417
96,ZD,2,1,2009,142580
97,ZD,2,2,2009,107599
98,ZD,2,3,2009,103565
99,ZD,2,4,2009,32516
100,ZD,2,5,2009,9428
101,ZA,3,1,2009,58421
102,ZA,3,2,2009,52003
103,ZA,3,3,2009,61951
104,ZA,3,4,2009,26680
105,ZA,3,5,2009,14632
106,ZB,3,1,2009,53918
107,ZB,3,2,2009,50847
108,ZB,3,3,2009,63649
109,ZB,3,4,2009,27947
110,ZB,3,5,2009,16388
111,ZC,3,1,2009,49029
112,ZC,3,2,2009,34727
113,ZC,3,3,2009,22324
114,ZC,3,4,2009,5145
115,ZC,3,5,2009,2043
116,ZD,3,1,2009,137005
117,ZD,3,2,2009,120139
118,ZD,3,3,2009,109600
119,ZD,3,4,2009,37452
120,ZD,3,5,2009,16480
121,ZA,2,1,2010,60830
122,ZA,2,2,2010,40968
123,ZA,2,3,2010,53018
124,ZA,2,4,2010,23059
125,ZA,2,5,2010,10037
126,ZB,2,1,2010,53523
127,ZB,2,2,2010,39945
128,ZB,2,3,2010,53444
129,ZB,2,4,2010,24367
130,ZB,2,5,2010,10831
131,ZC,2,1,2010,51602
132,ZC,2,2,2010,31336
133,ZC,2,3,2010,23455
134,ZC,2,4,2010,5678
135,ZC,2,5,2010,1536
136,ZD,2,1,2010,142322
137,ZD,2,2,2010,106232
138,ZD,2,3,2010,106049
139,ZD,2,4,2010,33732
140,ZD,2,5,2010,9618
141,ZA,3,1,2010,57945
142,ZA,3,2,2010,51431
143,ZA,3,3,2010,63186
144,ZA,3,4,2010,27685
