id,election_id,candidat_id,code_dept,nb_voix
1,1,1,01,7268
2,1,1,02,3455
3,1,1,03,3232
4,1,1,04,2933
5,1,1,05,3147
6,1,1,06,12556
7,1,1,07,5621
8,1,1,08,1868
9,1,1,09,2742
10,1,1,10,2294
11,1,1,11,4516
12,1,1,12,4243
13,1,1,13,21977
14,1,1,14,8569
15,1,1,15,1534
16,1,1,16,3843
17,1,1,17,8378
18,1,1,18,2861
19,1,1,19,2155
20,1,1,2A,1658
21,1,1,2B,2020
22,1,1,21,6073
23,1,1,22,10545
24,1,1,23,1369
25,1,1,24,5525
26,1,1,25,6847
27,1,1,26,8263
28,1,1,27,5544
29,1,1,28,3788
30,1,1,29,16536
31,1,1,30,8855
32,1,1,31,21069
33,1,1,32,2715
34,1,1,33,19940
35,1,1,34,15223
36,1,1,35,18367
37,1,1,36,2015
38,1,1,37,7488
39,1,1,38,20189
40,1,1,39,3691
41,1,1,40,4466
42,1,1,41,3418
43,1,1,42,8090
44,1,1,43,3041
45,1,1,44,24410
46,1,1,45,6744
47,1,1,46,3046
48,1,1,47,3775
49,1,1,48,1307
50,1,1,49,10737
51,1,1,50,5601
52,1,1,51,4482
53,1,1,52,1506
54,1,1,53,3864
55,1,1,54,7058
56,1,1,55,1794
57,1,1,56,12948
58,1,1,57,9875
59,1,1,58,2143
60,1,1,59,23976
61,1,1,60,6598
62,1,1,61,3109
63,1,1,62,10315
64,1,1,63,7549
65,1,1,64,11345
66,1,1,65,3007
67,1,1,66,5564
68,1,1,67,16188
69,1,1,68,10980
70,1,1,69,25611
71,1,1,70,2315
72,1,1,71,5435
73,1,1,72,6153
74,1,1,73,8313
75,1,1,74,14446
76,1,1,75,41495
77,1,1,76,11356
78,1,1,77,12684
79,1,1,78,17974
80,1,1,79,4480
81,1,1,80,4031
82,1,1,81,5064
83,1,1,82,2867
84,1,1,83,11334
85,1,1,84,7062
86,1,1,85,7652
87,1,1,86,5335
88,1,1,87,3925
89,1,1,88,4026
90,1,1,89,3426
91,1,1,90,1516
92,1,1,91,14027
93,1,1,92,20086
94,1,1,93,11781
95,1,1,94,15392
96,1,1,95,10907
97,1,1,ZA,2134
98,1,1,ZB,2275
99,1,1,ZC,843
100,1,1,ZD,7737
101,1,1,ZM,789
102,1,1,ZN,2336
103,1,1,ZP,3392
104,1,1,ZS,43
105,1,1,ZW,100
106,1,1,ZX,208
107,1,1,ZZ,21947
108,1,2,01,66540
109,1,2,02,78452
110,1,2,03,37736
111,1,2,04,20875
112,1,2,05,15359
113,1,2,06,136982
114,1,2,07,40216
115,1,2,08,37628
116,1,2,09,16125
117,1,2,10,40740
118,1,2,11,50234
119,1,2,12,25619
120,1,2,13,243348
121,1,2,14,65126
122,1,2,15,14877
123,1,2,16,37121
124,1,2,17,66076
125,1,2,18,35825
126,1,2,19,20784
127,1,2,2A,19081
128,1,2,2B,20128
129,1,2,21,54472
130,1,2,22,51552
131,1,2,23,12651
132,1,2,24,44035
133,1,2,25,55921
134,1,2,26,60424
135,1,2,27,76104
136,1,2,28,49067
137,1,2,29,67101
138,1,2,30,106646
139,1,2,31,106161
140,1,2,32,19190
141,1,2,33,127811
142,1,2,34,134343
143,1,2,35,71727
144,1,2,36,27164
145,1,2,37,53586
146,1,2,38,126377
147,1,2,39,31458
148,1,2,40,34381
149,1,2,41,41190
150,1,2,42,88877
151,1,2,43,29600
152,1,2,44,94249
153,1,2,45,73264
154,1,2,46,15376
155,1,2,47,42080
156,1,2,48,8650
157,1,2,49,63252
158,1,2,50,50927
159,1,2,51,66640
160,1,2,52,27624
161,1,2,53,26930
162,1,2,54,82538
163,1,2,55,29038
164,1,2,56,71715
165,1,2,57,141477
166,1,2,58,25565
167,1,2,59,300362
168,1,2,60,109339
169,1,2,61,34757
170,1,2,62,216753
171,1,2,63,57555
172,1,2,64,47844
173,1,2,65,21580
174,1,2,66,64007
175,1,2,67,124264
176,1,2,68,94988
177,1,2,69,133322
178,1,2,70,36807
179,1,2,71,65054
180,1,2,72,62516
181,1,2,73,45993
182,1,2,74,66583
183,1,2,75,61503
184,1,2,76,131416
185,1,2,77,126889
186,1,2,78,89491
187,1,2,79,30077
188,1,2,80,78250
189,1,2,81,44806
190,1,2,82,32228
191,1,2,83,149187
192,1,2,84,84585
193,1,2,85,61859
194,1,2,86,40321
195,1,2,87,35821
196,1,2,88,55339
197,1,2,89,46057
198,1,2,90,17786
199,1,2,91,90760
200,1,2,92,62447
201,1,2,93,72335
202,1,2,94,69399
203,1,2,95,83102
204,1,2,ZA,7486
205,1,2,ZB,6960
206,1,2,ZC,3920
207,1,2,ZD,37549
208,1,2,ZM,996
209,1,2,ZN,10409
210,1,2,ZP,5151
211,1,2,ZS,416
212,1,2,ZW,152
213,1,2,ZX,975
214,1,2,ZZ,23995
215,1,3,01,97722
216,1,3,02,72090
217,1,3,03,49477
218,1,3,04,25668
219,1,3,05,22655
220,1,3,06,216738
221,1,3,07,47687
222,1,3,08,37524
223,1,3,09,17979
224,1,3,10,49196
225,1,3,11,46801
226,1,3,12,46351
227,1,3,13,286175
228,1,3,14,109745
229,1,3,15,28151
230,1,3,16,48291
231,1,3,17,106431
232,1,3,18,45331
233,1,3,19,33706
234,1,3,2A,23623
235,1,3,2B,26869
236,1,3,21,82588
237,1,3,22,90555
238,1,3,23,17280
239,1,3,24,59347
240,1,3,25,83036
241,1,3,26,75291
242,1,3,27,92910
243,1,3,28,69591
244,1,3,29,136994
245,1,3,30,103927
246,1,3,31,158407
247,1,3,32,29133
248,1,3,33,203396
249,1,3,34,152614
250,1,3,35,150685
251,1,3,36,33564
252,1,3,37,94680
253,1,3,38,166290
254,1,3,39,39808
255,1,3,40,59887
256,1,3,41,55944
257,1,3,42,103410
258,1,3,43,35438
259,1,3,44,201671
260,1,3,45,104350
261,1,3,46,24447
262,1,3,47,49768
263,1,3,48,13885
264,1,3,49,136420
265,1,3,50,88234
266,1,3,51,88707
267,1,3,52,30604
268,1,3,53,55945
269,1,3,54,94415
270,1,3,55,29863
271,1,3,56,129838
272,1,3,57,148328
273,1,3,58,29400
274,1,3,59,338714
275,1,3,60,115926
276,1,3,61,51498
277,1,3,62,185632
278,1,3,63,79124
279,1,3,64,92967
280,1,3,65,29512
281,1,3,66,66870
282,1,3,67,196968
283,1,3,68,129349
284,1,3,69,271922
285,1,3,70,36967
286,1,3,71,84499
287,1,3,72,86174
288,1,3,73,69544
289,1,3,74,136946
290,1,3,75,319482
291,1,3,76,174024
292,1,3,77,176116
293,1,3,78,246328
294,1,3,79,55462
295,1,3,80,78680
296,1,3,81,55099
297,1,3,82,36666
298,1,3,83,209233
299,1,3,84,85898
300,1,3,85,133985
301,1,3,86,60188
302,1,3,87,43225
303,1,3,88,57964
304,1,3,89,53719
305,1,3,90,17891
306,1,3,91,152079
307,1,3,92,256570
308,1,3,93,104010
309,1,3,94,155552
310,1,3,95,139863
311,1,3,ZA,33973
312,1,3,ZB,38443
313,1,3,ZC,10174
314,1,3,ZD,65377
315,1,3,ZM,17536
316,1,3,ZN,44302
317,1,3,ZP,40611
318,1,3,ZS,488
319,1,3,ZW,2414
320,1,3,ZX,3504
321,1,3,ZZ,153301
322,1,4,01,30898
323,1,4,02,30360
324,1,4,03,27969
325,1,4,04,15269
326,1,4,05,12175
327,1,4,06,49493
328,1,4,07,28247
329,1,4,08,14260
330,1,4,09,16197
331,1,4,10,12860
332,1,4,11,28456
333,1,4,12,22282
334,1,4,13,139719
335,1,4,14,42396
336,1,4,15,8836
337,1,4,16,23707
338,1,4,17,39313
339,1,4,18,25079
340,1,4,19,16462
341,1,4,2A,7191
342,1,4,2B,8643
343,1,4,21,27496
344,1,4,22,46303
345,1,4,23,10117
346,1,4,24,35489
347,1,4,25,31936
348,1,4,26,34877
349,1,4,27,34572
350,1,4,28,21230
351,1,4,29,64505
352,1,4,30,55731
353,1,4,31,92798
354,1,4,32,14558
355,1,4,33,96165
356,1,4,34,80036
357,1,4,35,59901
358,1,4,36,15645
359,1,4,37,36657
360,1,4,38,82657
361,1,4,39,19338
362,1,4,40,30508
363,1,4,41,19437
364,1,4,42,46104
365,1,4,43,16214
366,1,4,44,90140
367,1,4,45,33923
368,1,4,46,16400
369,1,4,47,22966
370,1,4,48,6208
371,1,4,49,42601
372,1,4,50,30167
373,1,4,51,25292
374,1,4,52,9720
375,1,4,53,15136
376,1,4,54,47042
377,1,4,55,9951
378,1,4,56,47220
379,1,4,57,54455
380,1,4,58,15601
381,1,4,59,173037
382,1,4,60,44057
383,1,4,61,15501
384,1,4,62,97974
385,1,4,63,51691
386,1,4,64,46749
387,1,4,65,21934
388,1,4,66,33739
389,1,4,67,42302
390,1,4,68,30076
391,1,4,69,94876
392,1,4,70,14125
393,1,4,71,34548
394,1,4,72,35143
395,1,4,73,27875
396,1,4,74,37117
397,1,4,75,110101
398,1,4,76,91759
399,1,4,77,71097
400,1,4,78,65520
401,1,4,79,22709
402,1,4,80,36213
403,1,4,81,28800
404,1,4,82,16313
405,1,4,83,54553
406,1,4,84,34879
407,1,4,85,34471
408,1,4,86,27037
409,1,4,87,31304
410,1,4,88,22162
411,1,4,89,19540
412,1,4,90,8547
413,1,4,91,73240
414,1,4,92,75911
415,1,4,93,90710
416,1,4,94,81950
417,1,4,95,63679
418,1,4,ZA,7806
419,1,4,ZB,8600
420,1,4,ZC,2952
421,1,4,ZD,24503
422,1,4,ZM,944
423,1,4,ZN,2927
424,1,4,ZP,2492
425,1,4,ZS,399
426,1,4,ZW,76
427,1,4,ZX,473
428,1,4,ZZ,33503
429,1,5,01,3323
430,1,5,02,3860
431,1,5,03,2584
432,1,5,04,1394
433,1,5,05,1152
434,1,5,06,4048
435,1,5,07,2750
436,1,5,08,1981
437,1,5,09,1396
438,1,5,10,1632
439,1,5,11,2724
440,1,5,12,2417
441,1,5,13,8293
442,1,5,14,5385
443,1,5,15,1218
444,1,5,16,3084
445,1,5,17,5392
446,1,5,18,2218
447,1,5,19,1581
448,1,5,2A,873
449,1,5,2B,1001
450,1,5,21,3070
451,1,5,22,5054
452,1,5,23,1156
453,1,5,24,3533
454,1,5,25,3445
455,1,5,26,3187
456,1,5,27,4584
457,1,5,28,2899
458,1,5,29,8273
459,1,5,30,4215
460,1,5,31,7672
461,1,5,32,1486
462,1,5,33,13626
463,1,5,34,6221
464,1,5,35,7066
465,1,5,36,1985
466,1,5,37,4303
467,1,5,38,6846
468,1,5,39,2028
469,1,5,40,3605
470,1,5,41,2594
471,1,5,42,4464
472,1,5,43,1931
473,1,5,44,9635
474,1,5,45,3610
475,1,5,46,1650
476,1,5,47,2699
477,1,5,48,647
478,1,5,49,6338
479,1,5,50,4131
480,1,5,51,3534
481,1,5,52,1455
482,1,5,53,2392
483,1,5,54,4988
484,1,5,55,1688
485,1,5,56,6300
486,1,5,57,7924
487,1,5,58,1675
488,1,5,59,15138
489,1,5,60,5338
490,1,5,61,2515
491,1,5,62,10948
492,1,5,63,4595
493,1,5,64,6812
494,1,5,65,1967
495,1,5,66,3265
496,1,5,67,5993
497,1,5,68,4824
498,1,5,69,7412
499,1,5,70,1999
500,1,5,71,3971
501,1,5,72,4379
502,1,5,73,2890
503,1,5,74,4514
504,1,5,75,6644
505,1,5,76,8918
506,1,5,77,6584
507,1,5,78,5720
508,1,5,79,3550
509,1,5,80,4222
510,1,5,81,2962
511,1,5,82,1769
512,1,5,83,5239
513,1,5,84,2981
514,1,5,85,5893
515,1,5,86,3321
516,1,5,87,2641
517,1,5,88,3573
518,1,5,89,2477
519,1,5,90,988
520,1,5,91,5591
521,1,5,92,5031
522,1,5,93,4936
523,1,5,94,4946
524,1,5,95,5109
525,1,5,ZA,1151
526,1,5,ZB,1712
527,1,5,ZC,479
528,1,5,ZD,3170
